,gene,Symbol,description
0,ENSMUSG00000030359,Pzp,"PZP, alpha-2-macroglobulin like"
1,ENSMUSG00000020804,Aanat,arylalkylamine N-acetyltransferase
2,ENSMUSG00000025375,Aatk,apoptosis-associated tyrosine kinase
3,ENSMUSG00000015243,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1"
4,ENSMUSG00000028125,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4"
5,ENSMUSG00000026944,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2"
6,ENSMUSG00000031333,Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
7,ENSMUSG00000024030,Abcg1,ATP binding cassette subfamily G member 1
8,ENSMUSG00000058835,Abi1,abl-interactor 1
9,ENSMUSG00000026842,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase"
10,ENSMUSG00000026596,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)"
11,ENSMUSG00000066583,Scgb1b27,"secretoglobin, family 1B, member 27"
13,ENSMUSG00000026003,Acadl,"acyl-Coenzyme A dehydrogenase, long-chain"
14,ENSMUSG00000062908,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain"
15,ENSMUSG00000018574,Acadvl,"acyl-Coenzyme A dehydrogenase, very long chain"
16,ENSMUSG00000029545,Acads,"acyl-Coenzyme A dehydrogenase, short chain"
17,ENSMUSG00000027822,Slc33a1,"solute carrier family 33 (acetyl-CoA transporter), member 1"
18,ENSMUSG00000020704,Asic2,acid-sensing (proton-gated) ion channel 2
19,ENSMUSG00000023017,Asic1,acid-sensing (proton-gated) ion channel 1
20,ENSMUSG00000020681,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
21,ENSMUSG00000023328,Ache,acetylcholinesterase
22,ENSMUSG00000074336,Apoc4,apolipoprotein C-IV
23,ENSMUSG00000028649,Macf1,microtubule-actin crosslinking factor 1
24,ENSMUSG00000028405,Aco1,aconitase 1
25,ENSMUSG00000022477,Aco2,"aconitase 2, mitochondrial"
26,ENSMUSG00000020777,Acox1,"acyl-Coenzyme A oxidase 1, palmitoyl"
27,ENSMUSG00000044573,Acp1,"acid phosphatase 1, soluble"
28,ENSMUSG00000002103,Acp2,"acid phosphatase 2, lysosomal"
29,ENSMUSG00000001348,Acp5,"acid phosphatase 5, tartrate resistant"
30,ENSMUSG00000022622,Acr,acrosin prepropeptide
31,ENSMUSG00000027107,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)"
32,ENSMUSG00000027577,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4"
33,ENSMUSG00000031491,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6"
34,ENSMUSG00000030525,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7"
35,ENSMUSG00000041189,Chrnb1,"cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)"
36,ENSMUSG00000027950,Chrnb2,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)"
37,ENSMUSG00000026251,Chrnd,"cholinergic receptor, nicotinic, delta polypeptide"
38,ENSMUSG00000014609,Chrne,"cholinergic receptor, nicotinic, epsilon polypeptide"
39,ENSMUSG00000026253,Chrng,"cholinergic receptor, nicotinic, gamma polypeptide"
40,ENSMUSG00000022878,Adipoq,"adiponectin, C1Q and collagen domain containing"
41,ENSMUSG00000032110,Acrv1,acrosomal vesicle protein 1
43,ENSMUSG00000031972,Acta1,"actin, alpha 1, skeletal muscle"
44,ENSMUSG00000029580,Actb,"actin, beta"
45,ENSMUSG00000068614,Actc1,"actin, alpha, cardiac muscle 1"
46,ENSMUSG00000062825,Actg1,"actin, gamma, cytoplasmic 1"
47,ENSMUSG00000059430,Actg2,"actin, gamma 2, smooth muscle, enteric"
48,ENSMUSG00000070979,Actl7a,actin-like 7a
49,ENSMUSG00000070980,Actl7b,actin-like 7b
50,ENSMUSG00000052374,Actn2,actinin alpha 2
51,ENSMUSG00000006457,Actn3,actinin alpha 3
52,ENSMUSG00000035783,Acta2,"actin, alpha 2, smooth muscle, aorta"
53,ENSMUSG00000026836,Acvr1,"activin A receptor, type 1"
54,ENSMUSG00000000532,Acvr1b,"activin A receptor, type 1B"
55,ENSMUSG00000052155,Acvr2a,activin receptor IIA
56,ENSMUSG00000061393,Acvr2b,activin receptor IIB
57,ENSMUSG00000000530,Acvrl1,"activin A receptor, type II-like 1"
58,ENSMUSG00000020774,Aspa,aspartoacylase
59,ENSMUSG00000017697,Ada,adenosine deaminase
60,ENSMUSG00000054693,Adam10,a disintegrin and metallopeptidase domain 10
61,ENSMUSG00000020926,Adam11,a disintegrin and metallopeptidase domain 11
62,ENSMUSG00000054555,Adam12,a disintegrin and metallopeptidase domain 12 (meltrin alpha)
63,ENSMUSG00000028041,Adam15,a disintegrin and metallopeptidase domain 15 (metargidin)
64,ENSMUSG00000052593,Adam17,a disintegrin and metallopeptidase domain 17
65,ENSMUSG00000011256,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta)
66,ENSMUSG00000022039,Adam2,a disintegrin and metallopeptidase domain 2
67,ENSMUSG00000040537,Adam22,a disintegrin and metallopeptidase domain 22
68,ENSMUSG00000031553,Adam3,a disintegrin and metallopeptidase domain 3 (cyritestin)
69,ENSMUSG00000072972,Adam4,a disintegrin and metallopeptidase domain 4
70,ENSMUSG00000031554,Adam5,a disintegrin and metallopeptidase domain 5
71,ENSMUSG00000022056,Adam7,a disintegrin and metallopeptidase domain 7
72,ENSMUSG00000025473,Adam8,a disintegrin and metallopeptidase domain 8
73,ENSMUSG00000031555,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma)
74,ENSMUSG00000022893,Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"
75,ENSMUSG00000022994,Adcy6,adenylate cyclase 6
76,ENSMUSG00000031659,Adcy7,adenylate cyclase 7
77,ENSMUSG00000022376,Adcy8,adenylate cyclase 8
78,ENSMUSG00000005580,Adcy9,adenylate cyclase 9
79,ENSMUSG00000024256,Adcyap1,adenylate cyclase activating polypeptide 1
80,ENSMUSG00000029778,Adcyap1r1,adenylate cyclase activating polypeptide 1 receptor 1
81,ENSMUSG00000029106,Add1,adducin 1 (alpha)
82,ENSMUSG00000030000,Add2,adducin 2 (beta)
83,ENSMUSG00000028494,Plin2,perilipin 2
84,ENSMUSG00000074207,Adh1,alcohol dehydrogenase 1 (class I)
85,ENSMUSG00000055301,Adh7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
86,ENSMUSG00000028138,Adh5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
88,ENSMUSG00000039197,Adk,adenosine kinase
89,ENSMUSG00000030790,Adm,adrenomedullin
90,ENSMUSG00000058396,Gpr182,G protein-coupled receptor 182
91,ENSMUSG00000061780,Cfd,complement factor D (adipsin)
92,ENSMUSG00000051149,Adnp,activity-dependent neuroprotective protein
93,ENSMUSG00000042429,Adora1,adenosine A1 receptor
94,ENSMUSG00000020178,Adora2a,adenosine A2a receptor
95,ENSMUSG00000018500,Adora2b,adenosine A2b receptor
96,ENSMUSG00000000562,Adora3,adenosine A3 receptor
97,ENSMUSG00000002844,Adprh,ADP-ribosylarginine hydrolase
98,ENSMUSG00000026496,Parp1,"poly (ADP-ribose) polymerase family, member 1"
99,ENSMUSG00000036023,Parp2,"poly (ADP-ribose) polymerase family, member 2"
100,ENSMUSG00000050541,Adra1b,"adrenergic receptor, alpha 1b"
101,ENSMUSG00000045875,Adra1a,"adrenergic receptor, alpha 1a"
102,ENSMUSG00000027335,Adra1d,"adrenergic receptor, alpha 1d"
103,ENSMUSG00000033717,Adra2a,"adrenergic receptor, alpha 2a"
104,ENSMUSG00000058620,Adra2b,"adrenergic receptor, alpha 2b"
105,ENSMUSG00000045318,Adra2c,"adrenergic receptor, alpha 2c"
106,ENSMUSG00000035283,Adrb1,"adrenergic receptor, beta 1"
107,ENSMUSG00000045730,Adrb2,"adrenergic receptor, beta 2"
108,ENSMUSG00000031489,Adrb3,"adrenergic receptor, beta 3"
109,ENSMUSG00000022407,Adsl,adenylosuccinate lyase
110,ENSMUSG00000011148,Adssl1,adenylosuccinate synthetase like 1
111,ENSMUSG00000015961,Adss,"adenylosuccinate synthetase, non muscle"
112,ENSMUSG00000025432,Avil,advillin
113,ENSMUSG00000020473,Aebp1,AE binding protein 1
114,ENSMUSG00000030232,Aebp2,AE binding protein 2
115,ENSMUSG00000025431,Crisp1,cysteine-rich secretory protein 1
116,ENSMUSG00000025433,Crisp3,cysteine-rich secretory protein 3
117,ENSMUSG00000054932,Afp,alpha fetoprotein
119,ENSMUSG00000031521,Aga,aspartylglucosaminidase
120,ENSMUSG00000030607,Acan,aggrecan
121,ENSMUSG00000015452,Ager,advanced glycosylation end product-specific receptor
122,ENSMUSG00000022309,Angpt1,angiopoietin 1
123,ENSMUSG00000031465,Angpt2,angiopoietin 2
124,ENSMUSG00000027460,Angpt4,angiopoietin 4
125,ENSMUSG00000041936,Agrn,agrin
126,ENSMUSG00000005705,Agrp,agouti related neuropeptide
127,ENSMUSG00000031266,Gla,"galactosidase, alpha"
128,ENSMUSG00000031980,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
129,ENSMUSG00000049115,Agtr1a,"angiotensin II receptor, type 1a"
130,ENSMUSG00000054988,Agtr1b,"angiotensin II receptor, type 1b"
131,ENSMUSG00000068122,Agtr2,"angiotensin II receptor, type 2"
132,ENSMUSG00000029007,Agtrap,"angiotensin II, type I receptor-associated protein"
133,ENSMUSG00000026272,Agxt,alanine-glyoxylate aminotransferase
134,ENSMUSG00000025056,Nr0b1,"nuclear receptor subfamily 0, group B, member 1"
135,ENSMUSG00000048087,Gm4737,predicted gene 4737
136,ENSMUSG00000019256,Ahr,aryl-hydrocarbon receptor
137,ENSMUSG00000021575,Ahrr,aryl-hydrocarbon receptor repressor
138,ENSMUSG00000022868,Ahsg,alpha-2-HS-glycoprotein
139,ENSMUSG00000040627,Aicda,activation-induced cytidine deaminase
140,ENSMUSG00000024397,Aif1,allograft inflammatory factor 1
141,ENSMUSG00000019866,Crybg1,crystallin beta-gamma domain containing 1
142,ENSMUSG00000024847,Aip,aryl-hydrocarbon receptor-interacting protein
143,ENSMUSG00000000731,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)
144,ENSMUSG00000026817,Ak1,adenylate kinase 1
145,ENSMUSG00000028792,Ak2,adenylate kinase 2
146,ENSMUSG00000028527,Ak4,adenylate kinase 4
147,ENSMUSG00000018428,Akap1,A kinase (PRKA) anchor protein 1
148,ENSMUSG00000030344,Akap3,A kinase (PRKA) anchor protein 3
149,ENSMUSG00000050089,Akap4,A kinase (PRKA) anchor protein 4
150,ENSMUSG00000028766,Alpl,"alkaline phosphatase, liver/bone/kidney"
151,ENSMUSG00000036500,Akp3,"alkaline phosphatase 3, intestine, not Mn requiring"
152,ENSMUSG00000026246,Alppl2,"alkaline phosphatase, placental-like 2"
153,ENSMUSG00000001729,Akt1,thymoma viral proto-oncogene 1
154,ENSMUSG00000004056,Akt2,thymoma viral proto-oncogene 2
155,ENSMUSG00000032786,Alas1,aminolevulinic acid synthase 1
156,ENSMUSG00000025270,Alas2,"aminolevulinic acid synthase 2, erythroid"
157,ENSMUSG00000029368,Alb,albumin
158,ENSMUSG00000022636,Alcam,activated leukocyte cell adhesion molecule
159,ENSMUSG00000031378,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1"
160,ENSMUSG00000053279,Aldh1a1,"aldehyde dehydrogenase family 1, subfamily A1"
161,ENSMUSG00000029455,Aldh2,"aldehyde dehydrogenase 2, mitochondrial"
162,ENSMUSG00000019102,Aldh3a1,"aldehyde dehydrogenase family 3, subfamily A1"
163,ENSMUSG00000010025,Aldh3a2,"aldehyde dehydrogenase family 3, subfamily A2"
164,ENSMUSG00000030695,Aldoa,"aldolase A, fructose-bisphosphate"
165,ENSMUSG00000017390,Aldoc,"aldolase C, fructose-bisphosphate"
166,ENSMUSG00000001642,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)"
167,ENSMUSG00000055471,Alk,anaplastic lymphoma kinase
168,ENSMUSG00000000320,Alox12,arachidonate 12-lipoxygenase
169,ENSMUSG00000018907,Alox12e,"arachidonate lipoxygenase, epidermal"
170,ENSMUSG00000032807,Alox12b,"arachidonate 12-lipoxygenase, 12R type"
171,ENSMUSG00000018924,Alox15,arachidonate 15-lipoxygenase
172,ENSMUSG00000020891,Alox8,arachidonate 8-lipoxygenase
173,ENSMUSG00000025701,Alox5,arachidonate 5-lipoxygenase
