gene,count,length
ENST00000311027,1110,4944
ENST00000614836,641,576
ENST00000541374,930,1908
ENST00000311028,2776,582
ENST00000541377,2239,4434
ENST00000614839,74,1437
ENST00000276175,872,3345
ENST00000276173,90,456
ENST00000614830,183,537
ENST00000374601,152,465
ENST00000614831,15,1425
ENST00000374606,52,390
ENST00000374607,52,390
ENST00000590306,411,1650
ENST00000374608,295,1413
ENST00000350638,1890,1278
ENST00000580974,1897,807
ENST00000301698,186,1209
ENST00000565335,238,1143
ENST00000301691,168,642
ENST00000335007,262,972
ENST00000614847,143,1158
ENST00000614849,391,1407
ENST00000541387,344,1221
ENST00000579978,125,255
ENST00000374610,51,390
ENST00000311014,855,1818
ENST00000579973,1293,774
ENST00000311015,285,414
ENST00000335005,273,663
ENST00000276185,1021,5433
ENST00000374612,442,1902
ENST00000374617,246,1833
ENST00000374618,641,2100
ENST00000374616,442,1911
ENST00000325658,331,975
ENST00000590317,83,714
ENST00000374619,242,1134
ENST00000325656,284,828
ENST00000541352,1106,5490
ENST00000541354,5350,951
ENST00000614812,2998,1815
ENST00000350612,624,2340
ENST00000311048,735,1731
ENST00000614813,271,651
ENST00000374624,199,348
ENST00000311042,396,621
ENST00000590320,412,1062
ENST00000374622,277,582
ENST00000311044,324,1497
ENST00000349618,397,1515
ENST00000590329,143,834
ENST00000374627,1423,2841
ENST00000311051,496,2127
ENST00000590327,330,735
ENST00000555993,985,3357
ENST00000565316,309,1266
ENST00000555997,356,210
ENST00000325686,215,1293
ENST00000325680,1283,6441
ENST00000541363,1140,300
ENST00000541364,378,1560
ENST00000311034,741,2409
ENST00000374632,1750,2964
ENST00000590335,161,534
ENST00000579954,12,129
ENST00000614823,383,1113
ENST00000374630,1718,2961
ENST00000590333,768,2385
ENST00000590330,31,69
ENST00000580947,144,354
ENST00000374639,205,738
ENST00000374637,199,738
ENST00000350608,59,357
ENST00000350605,71,531
ENST00000565323,164,534
ENST00000565322,1040,1497
ENST00000325674,373,1293
ENST00000638849,369,873
ENST00000579947,4618,2550
ENST00000359001,1187,567
ENST00000359003,1502,6192
ENST00000614878,386,1881
ENST00000311069,109,411
ENST00000541337,1388,2355
ENST00000614872,602,1074
ENST00000590341,687,1464
ENST00000359005,106,546
ENST00000638848,5453,3720
ENST00000359008,277,858
ENST00000311066,1316,5049
ENST00000600228,629,2346
ENST00000600229,134,363
ENST00000335040,307,963
ENST00000291775,143,501
ENST00000555978,97,555
ENST00000600220,517,2064
ENST00000579937,384,2085
ENST00000638838,264,636
ENST00000349693,721,3075
ENST00000579935,916,3336
ENST00000624210,834,1488
ENST00000541342,2930,2538
ENST00000614887,423,3177
ENST00000335046,156,486
ENST00000541347,363,1068
ENST00000335044,636,2373
ENST00000350667,254,699
ENST00000311052,163,444
ENST00000335049,482,978
ENST00000276141,646,2016
ENST00000614886,227,1029
ENST00000614890,76,555
ENST00000614891,353,531
ENST00000565308,796,828
ENST00000531993,1193,693
ENST00000350669,292,1005
ENST00000555986,215,957
ENST00000600213,60,75
ENST00000291764,721,1332
ENST00000624207,44,1437
ENST00000624204,820,2271
ENST00000590360,66,306
ENST00000600252,401,1179
ENST00000579925,654,3417
ENST00000614859,272,585
ENST00000291750,279,279
ENST00000311089,303,234
ENST00000335012,669,753
ENST00000614856,104,390
ENST00000638820,935,2280
ENST00000614857,242,879
ENST00000311085,2128,9084
ENST00000335016,1086,3486
ENST00000335017,237,768
ENST00000311086,140,558
ENST00000638826,243,219
ENST00000614860,591,2292
ENST00000350657,462,1743
ENST00000291752,617,723
ENST00000291759,537,1500
ENST00000600245,447,2691
ENST00000580907,82,198
ENST00000579916,4820,564
ENST00000276127,433,906
ENST00000541323,527,1128
ENST00000276123,654,2286
ENST00000614867,396,168
ENST00000580900,839,1005
ENST00000335021,64,213
ENST00000614862,1760,1104
ENST00000335025,490,1563
ENST00000311083,224,582
ENST00000614870,324,393
ENST00000252172,2191,5817
ENST00000291744,389,942
ENST00000589392,496,1926
ENST00000266771,574,1734
ENST00000589390,900,255
ENST00000266775,569,1221
ENST00000638888,399,1032
ENST00000301618,1223,2373
ENST00000638892,270,129
ENST00000624234,460,1695
ENST00000276105,112,477
ENST00000276101,213,1002
ENST00000638874,368,1278
ENST00000638880,1038,286
ENST00000301624,1138,5073
ENST00000589378,719,2787
ENST00000291722,172,393
ENST00000252115,346,1266
ENST00000589377,900,1257
ENST00000291726,289,420
ENST00000482457,305,822
ENST00000266754,578,2085
ENST00000614894,90,666
ENST00000614895,18090,5046
ENST00000638868,428,1140
ENST00000325602,219,1065
ENST00000301633,192,498
ENST00000301634,195,705
ENST00000291715,90,504
ENST00000203166,404,1902
ENST00000291705,417,687
ENST00000291707,869,1788
ENST00000638862,262,2157
ENST00000301645,427,1515
ENST00000252136,306,1878
ENST00000589359,659,2580
ENST00000291700,92,279
ENST00000252137,527,1431
ENST00000565380,1055,3336
ENST00000266732,397,2085
ENST00000266735,77,261
ENST00000266736,393,1281
ENST00000301659,396,1338
ENST00000301656,348,1380
ENST00000301653,329,1422
ENST00000589342,184,681
ENST00000624297,17,1440
ENST00000266742,601,1983
ENST00000266743,177,711
ENST00000227135,213,456
ENST00000266744,228,711
ENST00000349606,303,795
ENST00000325617,499,1833
ENST00000349607,11650,3378
ENST00000589339,486,1473
ENST00000589334,214,774
ENST00000301665,499,777
ENST00000565383,165,165
ENST00000589332,161,1008
ENST00000482491,925,2004
ENST00000252108,628,3201
ENST00000482493,396,1056
ENST00000541394,681,1971
ENST00000541395,745,1989
ENST00000541397,390,1101
ENST00000541398,1193,2715
ENST00000311008,345,1587
ENST00000311001,721,1869
ENST00000242786,680,2508
ENST00000242783,741,2829
ENST00000242784,94,531
ENST00000266712,666,2745
ENST00000266718,348,1017
ENST00000266719,330,1059
ENST00000301679,543,1623
ENST00000589327,99,267
ENST00000589328,650,939
ENST00000580994,224,963
ENST00000301678,491,1659
ENST00000252100,247,1500
ENST00000325642,461,1368
ENST00000325643,944,4338
ENST00000252102,70,300
ENST00000193322,372,1005
ENST00000301671,261,1593
ENST00000589322,434,774
ENST00000242770,177,663
ENST00000227155,464,804
ENST00000227157,304,726
ENST00000579991,96,270
ENST00000242776,257,1284
ENST00000580981,453,1071
ENST00000580982,462,1104
ENST00000325636,123,444
ENST00000227163,328,816
ENST00000589319,497,417
ENST00000325631,402,1677
ENST00000301686,75,615
ENST00000565365,78,708
ENST00000325630,166,243
ENST00000242728,172,1449
ENST00000242729,314,732
ENST00000457422,143,465
ENST00000457424,490,1200
ENST00000433454,376,1623
ENST00000433452,125,456
ENST00000482405,176,483
ENST00000242719,238,465
ENST00000457433,296,1311
ENST00000217740,374,699
ENST00000624187,328,939
ENST00000360093,2192,6003
ENST00000360090,187,357
ENST00000360096,211,372
ENST00000433436,221,747
ENST00000457447,501,1557
ENST00000433428,265,579
ENST00000242737,650,546
ENST00000360085,372,294
ENST00000433425,35,237
ENST00000360089,1490,1782
ENST00000433423,1058,1215
ENST00000457458,276,1509
ENST00000457470,555,1452
ENST00000398692,268,432
ENST00000398696,315,537
ENST00000482432,59,183
ENST00000433418,632,1980
ENST00000457482,1046,1536
ENST00000398682,9,375
ENST00000398684,307,216
ENST00000398686,554,1539
ENST00000433400,1691,2346
ENST00000457474,659,2046
ENST00000457475,1171,1557
ENST00000301717,198,1068
ENST00000301712,231,834
ENST00000457488,778,1113
ENST00000301729,225,909
ENST00000301727,440,2355
ENST00000301724,260,984
ENST00000590381,427,399
ENST00000374680,301,1602
ENST00000398652,341,825
ENST00000590389,48,333
ENST00000541412,147,339
ENST00000359047,700,912
ENST00000374685,299,1614
ENST00000398658,56,189
ENST00000374688,541,714
ENST00000398659,1469,1245
ENST00000335080,420,1572
ENST00000359051,342,1164
ENST00000360031,475,1452
ENST00000360032,363,1134
ENST00000360039,312,1461
ENST00000374690,2083,2763
ENST00000590393,33,126
ENST00000360029,4021,1422
ENST00000374694,367,2085
ENST00000398640,5517,2850
ENST00000374692,593,876
ENST00000541421,86,324
ENST00000359035,187,789
ENST00000374695,2872,13176
ENST00000398645,1274,2349
ENST00000398646,307,777
ENST00000398647,341,564
ENST00000359039,271,1854
ENST00000541428,1700,2190
ENST00000335093,91,240
ENST00000335090,435,1377
ENST00000359040,867,2046
ENST00000359042,351,1830
ENST00000335094,425,939
ENST00000359044,405,2691
ENST00000360027,242,378
ENST00000360028,805,1392
ENST00000360025,691,1233
ENST00000350690,250,864
ENST00000360019,316,1245
ENST00000398675,979,1323
ENST00000350697,277,969
ENST00000359028,2646,11733
ENST00000350696,1417,3597
ENST00000359031,469,1047
ENST00000359032,674,2934
ENST00000359033,502,1341
ENST00000360012,3445,1308
ENST00000349697,367,834
ENST00000360013,5818,8961
ENST00000360011,604,1593
ENST00000360016,774,2385
ENST00000360009,387,1005
ENST00000398661,1866,1113
ENST00000398664,173,375
ENST00000398665,1455,4614
ENST00000359013,1046,1779
ENST00000359015,1778,4125
ENST00000335071,100,960
ENST00000360001,318,1089
ENST00000360000,69,354
ENST00000360003,472,1929
ENST00000360004,2387,801
ENST00000374642,161,738
ENST00000398610,4321,2811
ENST00000374640,205,738
ENST00000398612,310,1515
ENST00000374647,957,3999
ENST00000374644,564,1488
ENST00000359092,883,2658
ENST00000374648,455,360
ENST00000360079,443,1830
ENST00000433497,1227,726
ENST00000433496,294,1011
ENST00000374650,202,744
ENST00000614805,351,1041
ENST00000614806,382,651
ENST00000359079,241,1098
ENST00000398600,597,1989
ENST00000374651,867,3384
ENST00000398602,203,501
ENST00000398603,163,525
ENST00000398604,6650,2799
ENST00000374656,261,1221
ENST00000398606,164,633
ENST00000360060,1032,2214
ENST00000359082,1714,6459
ENST00000359085,281,822
ENST00000360064,12272,14850
ENST00000359086,51,237
ENST00000359087,348,1614
ENST00000360067,323,963
ENST00000360066,527,1425
ENST00000374660,3383,4383
ENST00000398631,4537,2826
ENST00000276079,356,1416
ENST00000374662,120,786
ENST00000276077,357,1002
ENST00000398634,260,864
ENST00000374663,217,366
ENST00000335099,246,1263
ENST00000398636,336,747
